Date,Former LYX Price
2023-06-06,8.9399451814
2023-06-07,8.6290587796
2023-06-08,8.5532
2023-06-09,8.7046
2023-06-10,7.4457174924
2023-06-11,7.3817
2023-06-12,7.512
2023-06-13,6.8344
2023-06-14,6.9842
2023-06-15,6.891
2023-06-16,6.832
2023-06-17,6.9381
2023-06-18,7.5085
2023-06-19,8.5283
2023-06-20,9.6549
2023-06-21,9.6704
2023-06-22,9.5206
2023-06-23,9.1402
2023-06-24,9.0120974491
2023-06-25,8.8605
2023-06-26,9.1632
2023-06-27,9.1402
2023-06-28,8.4497501907
2023-06-29,8.4082997582
2023-06-30,8.0802851757
2023-07-01,8.0199282956
2023-07-02,8.0638056487
2023-07-03,8.13031011
2023-07-04,7.7769437414
2023-07-05,7.6782602997
2023-07-06,7.8643379654
2023-07-07,7.88920434
2023-07-08,8.061589871
2023-07-09,7.9933738354
2023-07-10,7.633113425
2023-07-11,7.3564231827
2023-07-12,7.6866859044
2023-07-13,7.6665859888
2023-07-14,7.2578306089
2023-07-15,7.1089228106
2023-07-16,7.1037891169
2023-07-17,7.1263485761
2023-07-18,7.1952383732
2023-07-19,7.399934659
2023-07-20,7.4203403067
2023-07-21,7.2106666955
2023-07-22,6.9261290337
2023-07-23,6.5247225017
2023-07-24,6.2702514794
2023-07-25,6.2187183625
2023-07-26,6.0388443139
2023-07-27,6.2658930157
2023-07-28,6.4231995955
2023-07-29,6.1902908461
2023-07-30,6.0497893943
2023-07-31,5.85737228
2023-08-01,5.6725656837
2023-08-02,5.672283755
2023-08-03,5.57147811
2023-08-04,5.5153534954
2023-08-05,5.530174273
2023-08-06,5.4371121738
2023-08-07,5.6785580713
2023-08-08,5.9827301741
2023-08-09,6.1270545549
2023-08-10,6.4599840784
2023-08-11,6.746432233
2023-08-12,6.6862616615
2023-08-13,6.685569248
2023-08-14,6.6924388113
2023-08-15,6.3430053367
2023-08-16,5.9541610844
2023-08-17,5.7038137812
2023-08-18,5.8913436368
2023-08-19,6.1398622725
2023-08-20,6.1164535277
2023-08-21,6.2171691863
2023-08-22,6.4047458806
2023-08-23,6.4343767899
2023-08-24,6.2901042725
2023-08-25,6.1753120754
2023-08-26,6.202229143
2023-08-27,6.2551413606
2023-08-28,6.2872106753
2023-08-29,6.1420819448
2023-08-30,6.0489469368
2023-08-31,6.1265416524
2023-09-01,6.0665257951
2023-09-02,6.0232040495
2023-09-03,5.917146757
2023-09-04,5.7957527838
2023-09-05,5.8148706578
2023-09-06,5.7809581092
2023-09-07,5.7164260438
2023-09-08,5.6725122961
2023-09-09,5.5552147288
2023-09-10,5.3880336404
2023-09-11,5.285006356
2023-09-12,5.2770042504
2023-09-13,5.4154315757
2023-09-14,5.4730490719
2023-09-15,5.3846457071
2023-09-16,5.3593391477
2023-09-17,5.2707434015
2023-09-18,5.3013789706
2023-09-19,5.0834054574
2023-09-20,4.9045931257
2023-09-21,4.904521102
2023-09-22,5.0203834162
2023-09-23,5.0341399734
2023-09-24,4.9414419989
2023-09-25,4.946503113
2023-09-26,5.0401593352
2023-09-27,4.9727383832
2023-09-28,4.9307502514
2023-09-29,4.9284716969
2023-09-30,5.0486296327
2023-10-01,5.2038413613
2023-10-02,4.8993485164
2023-10-03,5.0908345393
2023-10-04,5.1066445567
2023-10-05,5.124831166
2023-10-06,5.2889560722
2023-10-07,5.1536685973
2023-10-08,5.0272735752
2023-10-09,5.0048744383
2023-10-10,4.8461979283
2023-10-11,4.8477020081
2023-10-12,4.7789789202
2023-10-13,4.8679183666
2023-10-14,4.9576682089
2023-10-15,5.0470560932
2023-10-16,4.9309934711
2023-10-17,4.9208085072
2023-10-18,4.9140603842
2023-10-19,4.8234912882
2023-10-20,4.8988211125
2023-10-21,4.9674262912
2023-10-22,5.1426593139
2023-10-23,4.9808461833
2023-10-24,4.8041861241
2023-10-25,4.9715093897
2023-10-26,5.082184731
2023-10-27,4.9593588142
2023-10-28,5.0149041727
2023-10-29,5.1252375145
2023-10-30,5.2434532086
2023-10-31,5.3532655726
2023-11-01,5.3822887649
2023-11-02,5.7917266243
2023-11-03,6.1842797749
2023-11-04,6.1274791447
2023-11-05,5.9729749376
2023-11-06,5.9214137042
2023-11-07,5.960109601
2023-11-08,5.9420219588
2023-11-09,5.7732947971
2023-11-10,5.9955470106
2023-11-11,6.1285602608
2023-11-12,6.146600919
2023-11-13,6.2543376052
2023-11-14,6.007927856
2023-11-15,5.8692599732
2023-11-16,5.8488315669
2023-11-17,5.763872614
2023-11-18,5.8015172257
2023-11-19,5.9514053187
2023-11-20,5.8858128321
2023-11-21,5.7378371651
2023-11-22,5.8071618884
2023-11-23,5.9987950277
2023-11-24,5.9900518952
2023-11-25,5.7956469406
2023-11-26,5.6305996119
2023-11-27,5.5230696578
2023-11-28,5.5792732306
2023-11-29,5.8789508259
2023-11-30,6.1493125893
2023-12-01,6.691030058
2023-12-02,7.8576380201
2023-12-03,8.2937785128
2023-12-04,7.9569825262
2023-12-05,7.4154587278
2023-12-06,7.1445563205
2023-12-07,7.0907476301
2023-12-08,7.0308070624
2023-12-09,7.2163502957
2023-12-10,6.98349835
2023-12-11,6.6386388054
2023-12-12,6.7536056657
2023-12-13,6.9753383985
2023-12-14,7.0521124985
2023-12-15,6.9433082604
2023-12-16,6.7901246543
2023-12-17,6.9372749464
2023-12-18,6.9900601562
2023-12-19,6.9863888836
2023-12-20,7.5672594904
2023-12-21,8.0615364511
2023-12-22,7.975290918
2023-12-23,7.8418707563
2023-12-24,7.6964540338
2023-12-25,7.4797723029
2023-12-26,7.4708600221
2023-12-27,7.2299048142
2023-12-28,6.9514890719
2023-12-29,7.0343479892
2023-12-30,7.028563918
2023-12-31,7.2619752001
2024-01-01,7.5622169339
2024-01-02,8.2435366543
2024-01-03,8.9855314373
2024-01-04,9.3009308151
2024-01-05,9.0143565279
2024-01-06,8.9396509947
2024-01-07,9.2966611549
2024-01-08,9.3774699795
2024-01-09,9.3434777093
2024-01-10,9.2659176134
2024-01-11,8.8388378388
2024-01-12,8.8982313078
2024-01-13,9.6224345958
2024-01-14,10.135018274
2024-01-15,10.2606090023
2024-01-16,10.3906133442
2024-01-17,10.3739135422
2024-01-18,10.2206987285
2024-01-19,10.0312542365
2024-01-20,9.5587292103
2024-01-21,8.7940757779
2024-01-22,8.4777006711
2024-01-23,8.4705129188
2024-01-24,8.3070819339
2024-01-25,8.6519759454
2024-01-26,8.9187465865
2024-01-27,8.6884769506
2024-01-28,8.5688116285
2024-01-29,8.4159085329
2024-01-30,8.2445064751
2024-01-31,8.2298672525
2024-02-01,8.1852270277
2024-02-02,8.0889451481
2024-02-03,7.9406344041
2024-02-04,7.747834052
2024-02-05,7.6689645312
2024-02-06,7.6168420341
2024-02-07,7.3859497972
2024-02-08,7.4390080353
2024-02-09,7.4866401632
2024-02-10,7.2115685476
2024-02-11,7.2050066004
2024-02-12,7.076641806
